LONGITUDE,LATITUDE,IP,ORG,ZDAT
55.7123,12.0564,185.21.41.202,team.blue Denmark A/S,89
53.3338,-6.2488,54.228.142.63,AMAZON-02,90
53.3338,-6.2488,34.253.40.149,AMAZON-02,91
55.3905,10.5205,185.221.38.40,team.blue Denmark A/S,92
37.751,-97.822,172.217.19.67,GOOGLE,93
37.751,-97.822,104.121.236.114,AKAMAI-AS,94
37.751,-97.822,104.18.24.243,CLOUDFLARENET,95
37.751,-97.822,172.217.19.66,GOOGLE,96
37.751,-97.822,143.204.237.91,AMAZON-02,97
37.751,-97.822,104.18.20.183,CLOUDFLARENET,99
35.3601,-81.9251,69.171.250.35,FACEBOOK,100
52.3824,4.8995,91.198.174.208,WIKIMEDIA,101
37.751,-97.822,157.240.200.14,FACEBOOK,102
37.751,-97.822,104.18.15.176,CLOUDFLARENET,103
37.751,-97.822,172.67.200.205,CLOUDFLARENET,104
37.751,-97.822,172.217.19.78,GOOGLE,105
37.4043,-122.0748,216.58.213.202,GOOGLE,106
37.751,-97.822,172.217.19.81,GOOGLE,107
37.751,-97.822,64.233.163.127,GOOGLE,108
37.751,-97.822,104.21.76.119,CLOUDFLARENET,109
60.1758,24.9349,95.217.85.245,Hetzner Online GmbH,110
37.751,-97.822,143.204.245.73,AMAZON-02,111
55.7123,12.0564,91.223.235.50,DLX A/S,112
55.7553,12.3233,83.94.121.211,Tele Danmark,113
52.3759,4.8975,20.190.160.3,MICROSOFT-CORP-MSN-AS-BLOCK,114
37.751,-97.822,143.204.237.128,AMAZON-02,115
52.3759,4.8975,20.190.160.5,MICROSOFT-CORP-MSN-AS-BLOCK,116
55.656,12.4799,195.249.23.142,Tele Danmark,117
53.3338,-6.2488,34.250.57.36,AMAZON-02,118
