,LATITUDE,LONGITUDE
0,55.7123,12.0564
1,37.4043,-122.0748
2,37.751,-97.822
3,37.751,-97.822
4,37.751,-97.822
5,37.751,-97.822
6,55.7123,12.0564
7,37.751,-97.822
8,51.5164,-0.093
9,37.751,-97.822
10,37.751,-97.822
11,37.751,-97.822
12,37.751,-97.822
13,37.4043,-122.0748
14,37.4043,-122.0748
15,37.751,-97.822
16,37.751,-97.822
17,37.4043,-122.0748
18,37.4043,-122.0748
19,52.3759,4.8975
20,39.0481,-77.4728
21,37.4043,-122.0748
22,37.751,-97.822
23,37.751,-97.822
24,59.3247,18.056
25,55.6686,12.5842
26,37.751,-97.822
27,37.751,-97.822
28,37.751,-97.822
29,37.751,-97.822
30,37.751,-97.822
31,53.3338,-6.2488
32,37.751,-97.822
33,37.751,-97.822
34,53.3338,-6.2488
35,55.3127,10.7896
36,37.751,-97.822
37,37.751,-97.822
38,37.751,-97.822
39,37.4043,-122.0748
40,47.0,8.0
41,37.751,-97.822
42,37.4043,-122.0748
43,37.751,-97.822
