,LATITUDE,LONGITUDE
0,37.751,-97.822
1,37.751,-97.822
2,37.4043,-122.0748
3,55.7123,12.0564
4,37.4043,-122.0748
5,37.751,-97.822
6,56.35,10.05
7,53.3338,-6.2488
8,37.751,-97.822
9,37.751,-97.822
10,55.7123,12.0564
11,37.751,-97.822
12,37.751,-97.822
13,51.5164,-0.093
14,37.751,-97.822
15,37.751,-97.822
16,37.4043,-122.0748
17,37.4043,-122.0748
18,37.751,-97.822
19,37.751,-97.822
20,37.751,-97.822
21,37.4043,-122.0748
22,37.751,-97.822
23,37.4043,-122.0748
24,37.751,-97.822
25,37.751,-97.822
26,37.751,-97.822
27,37.751,-97.822
28,37.751,-97.822
29,37.4043,-122.0748
30,37.4043,-122.0748
31,37.751,-97.822
32,52.3759,4.8975
33,39.0481,-77.4728
34,37.751,-97.822
35,37.751,-97.822
36,37.751,-97.822
37,37.751,-97.822
38,37.4043,-122.0748
39,59.3247,18.056
40,55.6686,12.5842
41,37.751,-97.822
42,55.6786,12.5589
43,55.6786,12.5589
44,55.7123,12.0564
45,37.751,-97.822
46,37.4043,-122.0748
47,37.751,-97.822
48,37.751,-97.822
49,37.751,-97.822
50,55.6786,12.5589
51,52.3759,4.8975
52,37.751,-97.822
53,37.751,-97.822
54,37.751,-97.822
55,49.7498,6.1661
56,55.3127,10.7896
57,37.751,-97.822
58,37.4043,-122.0748
59,37.751,-97.822
60,37.751,-97.822
61,37.751,-97.822
62,37.751,-97.822
63,37.751,-97.822
64,37.4043,-122.0748
65,47.0,8.0
66,37.751,-97.822
67,47.0,8.0
68,37.751,-97.822
69,37.4043,-122.0748
70,37.751,-97.822
71,37.751,-97.822
