,LATITUDE,LONGITUDE
0,37.751,-97.822
1,37.4043,-122.0748
2,37.751,-97.822
3,53.3338,-6.2488
4,37.751,-97.822
5,37.751,-97.822
6,37.4043,-122.0748
7,37.751,-97.822
8,53.3338,-6.2488
9,37.751,-97.822
10,37.751,-97.822
11,37.4043,-122.0748
12,37.751,-97.822
13,51.5164,-0.093
14,37.751,-97.822
15,37.751,-97.822
16,47.0,8.0
17,52.3759,4.8975
18,52.3759,4.8975
19,37.751,-97.822
20,37.751,-97.822
21,52.3759,4.8975
22,37.751,-97.822
23,37.751,-97.822
24,55.6786,12.5589
25,37.751,-97.822
26,37.4043,-122.0748
27,37.751,-97.822
28,37.751,-97.822
29,37.751,-97.822
30,37.751,-97.822
31,37.751,-97.822
32,52.3759,4.8975
33,37.4043,-122.0748
34,37.751,-97.822
35,52.3759,4.8975
36,37.4043,-122.0748
37,37.751,-97.822
38,37.751,-97.822
39,37.751,-97.822
40,47.0,8.0
